Age,Grade,Gender,Year,Number,Sector
15,C2,MA,1983,17730,PUB
15,C3,FE,1983,7075,PUB
15,C3,MA,1983,9308,PUB
16,C1,FE,1983,12551,PUB
16,C1,MA,1983,21302,PUB
16,C2,FE,1983,13205,PUB
16,C2,MA,1983,21205,PUB
16,C3,FE,1983,10998,PUB
16,C3,MA,1983,15975,PUB
17,C1,FE,1983,5513,PUB
17,C1,MA,1983,9822,PUB
17,C2,FE,1983,11383,PUB
17,C2,MA,1983,18983,PUB
17,C3,FE,1983,12918,PUB
17,C3,MA,1983,19645,PUB
18,C1,FE,1983,1455,PUB
18,C1,MA,1983,2668,PUB
18,C2,FE,1983,5956,PUB
18,C2,MA,1983,9562,PUB
18,C3,FE,1983,11950,PUB
18,C3,MA,1983,19439,PUB
19,C2,FE,1983,1883,PUB
19,C2,MA,1983,2694,PUB
19,C3,FE,1983,7613,PUB
19,C3,MA,1983,12647,PUB
20,C2,FE,1983,354,PUB
20,C2,MA,1983,706,PUB
20,C3,FE,1983,2879,PUB
20,C3,MA,1983,4714,PUB
21,C3,FE,1983,762,PUB
21,C3,MA,1983,1151,PUB
15,C1,FE,1984,16529,PUB
15,C1,MA,1984,26190,PUB
15,C2,FE,1984,13038,PUB
15,C2,MA,1984,20024,PUB
15,C3,FE,1984,8133,PUB
15,C3,MA,1984,11881,PUB
16,C1,FE,1984,12799,PUB
16,C1,MA,1984,21906,PUB
16,C2,FE,1984,14049,PUB
16,C2,MA,1984,22427,PUB
16,C3,FE,1984,11952,PUB
16,C3,MA,1984,18123,PUB
17,C1,FE,1984,4780,PUB
17,C1,MA,1984,8548,PUB
17,C2,FE,1984,12039,PUB
17,C2,MA,1984,20142,PUB
17,C3,FE,1984,14154,PUB
17,C3,MA,1984,22277,PUB
18,C1,FE,1984,1256,PUB
18,C1,MA,1984,2375,PUB
18,C2,FE,1984,5708,PUB
18,C2,MA,1984,8965,PUB
18,C3,FE,1984,12682,PUB
18,C3,MA,1984,20613,PUB
19,C2,FE,1984,1679,PUB
19,C2,MA,1984,2496,PUB
19,C3,FE,1984,7965,PUB
19,C3,MA,1984,11898,PUB
20,C2,FE,1984,297,PUB
20,C2,MA,1984,567,PUB
20,C3,FE,1984,2926,PUB
20,C3,MA,1984,4373,PUB
21,C3,FE,1984,493,PUB
21,C3,MA,1984,1067,PUB
15,C1,FE,1985,17111,PUB
15,C1,MA,1985,26528,PUB
15,C2,FE,1985,15307,PUB
15,C2,MA,1985,21982,PUB
15,C3,FE,1985,9567,PUB
15,C3,MA,1985,13067,PUB
16,C1,FE,1985,13221,PUB
16,C1,MA,1985,21825,PUB
16,C2,FE,1985,15505,PUB
16,C2,MA,1985,24576,PUB
16,C3,FE,1985,13636,PUB
16,C3,MA,1985,20650,PUB
17,C1,FE,1985,4876,PUB
17,C1,MA,1985,7437,PUB
17,C2,FE,1985,12247,PUB
17,C2,MA,1985,20565,PUB
17,C3,FE,1985,15558,PUB
17,C3,MA,1985,24826,PUB
18,C1,FE,1985,1146,PUB
18,C1,MA,1985,2144,PUB
18,C2,FE,1985,5766,PUB
18,C2,MA,1985,9011,PUB
18,C3,FE,1985,14623,PUB
18,C3,MA,1985,24113,PUB
19,C2,FE,1985,1581,PUB
19,C2,MA,1985,2372,PUB
19,C3,FE,1985,8834,PUB
19,C3,MA,1985,14012,PUB
20,C2,FE,1985,223,PUB
20,C2,MA,1985,448,PUB
20,C3,FE,1985,3140,PUB
20,C3,MA,1985,4901,PUB
21,C3,FE,1985,681,PUB
21,C3,MA,1985,1197,PUB
15,C1,FE,1986,18098,PUB
15,C1,MA,1986,29581,PUB
15,C2,FE,1986,15710,PUB
15,C2,MA,1986,22652,PUB
15,C3,FE,1986,10894,PUB
15,C3,MA,1986,14702,PUB
16,C1,FE,1986,14219,PUB
16,C1,MA,1986,23811,PUB
16,C2,FE,1986,16429,PUB
16,C2,MA,1986,25216,PUB
16,C3,FE,1986,16439,PUB
16,C3,MA,1986,23356,PUB
17,C1,FE,1986,4218,PUB
17,C1,MA,1986,6862,PUB
17,C2,FE,1986,12926,PUB
17,C2,MA,1986,21024,PUB
17,C3,FE,1986,17693,PUB
17,C3,MA,1986,27754,PUB
18,C1,FE,1986,713,PUB
18,C1,MA,1986,1492,PUB
18,C2,FE,1986,5706,PUB
18,C2,MA,1986,8633,PUB
18,C3,FE,1986,15235,PUB
18,C3,MA,1986,25378,PUB
19,C2,FE,1986,1311,PUB
19,C2,MA,1986,2013,PUB
19,C3,FE,1986,9150,PUB
19,C3,MA,1986,14967,PUB
20,C2,FE,1986,130,PUB
20,C2,MA,1986,388,PUB
20,C3,FE,1986,2863,PUB
20,C3,MA,1986,4705,PUB
21,C3,FE,1986,309,PUB
21,C3,MA,1986,775,PUB
15,C1,FE,1987,20014,PUB
15,C1,MA,1987,30783,PUB
15,C2,FE,1987,16378,PUB
